DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-03-17 00:00:00,2020-03-17 00:00:00,RS,,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RS,CAMPO BOM,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RS,CAXIAS DO SUL,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RS,PORTO ALEGRE,6,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SC,BRAÇO DO NORTE,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SC,FLORIANÓPOLIS,3,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SC,JOINVILLE,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SC,RANCHO QUEIMADO,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SE,ARACAJU,5,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,CARAPICUÍBA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,FERRAZ DE VASCONCELOS,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,GUARULHOS,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,MAUÁ,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,SANTO ANDRÉ,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,SÃO BERNARDO DO CAMPO,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,SÃO CAETANO DO SUL,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,SP,SÃO PAULO,156,1
2020-03-18 00:00:00,2020-03-18 00:00:00,AC,RIO BRANCO,3,0
2020-03-18 00:00:00,2020-03-18 00:00:00,AL,MACEIÓ,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,AM,MANAUS,2,0
2020-03-18 00:00:00,2020-03-18 00:00:00,BA,FEIRA DE SANTANA,5,0
2020-03-18 00:00:00,2020-03-18 00:00:00,BA,PORTO SEGURO,4,0
2020-03-18 00:00:00,2020-03-18 00:00:00,BA,PRADO,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,BA,SALVADOR,17,0
2020-03-18 00:00:00,2020-03-18 00:00:00,CE,AQUIRAZ,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,CE,FORTALEZA,17,0
2020-03-18 00:00:00,2020-03-18 00:00:00,CE,SOBRAL,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,DF,BRASÍLIA,34,0
2020-03-18 00:00:00,2020-03-18 00:00:00,ES,INDEFINIDA,9,0
2020-03-18 00:00:00,2020-03-18 00:00:00,GO,ANÁPOLIS,2,0
2020-03-18 00:00:00,2020-03-18 00:00:00,GO,APARECIDA DE GOIÂNIA,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,GO,GOIÂNIA,5,0
2020-03-18 00:00:00,2020-03-18 00:00:00,GO,JATAÍ,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,GO,RIO VERDE,3,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,BELO HORIZONTE,10,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,CORONEL FABRICIANO,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,IPATINGA,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,JUIZ DE FORA,2,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,NOVA LIMA,1,0
2020-03-18 00:00:00,2020-03-18 00:00:00,MG,PATROCÍNIO,1,0
